Timestamp	Tracking number	DOI	Notification	Year	Journal	Title	Completed	Curator	Time required	Comments	Segmentation time	Tagging time	total images	total panels	annotated images	annotated panels	total tags										
2.15.2017 10:16:51	EMM-2016-06523	10.15252/emmm.201606523	12.12.16	2017	EMBO Molecular Medicine	Sequence variation in PPP1R13L results in a novel form of cardio-cutaneous syndrome	10.01.17	Nancy																			
7.4.2017 17:39:40	EMM-2017-07691-V3	10.15252/emmm.201707691	04.07.17	2017	EMBO Molecular Medicine	Spironolactone is an Antagonist of NRG1-ERBB4 Signaling and Schizophrenia-Relevant Endophenotypes in Mice	06.07.17	Emmanuel	7:30:00	Missing all correct docx and jpg files thus leading to additional steps prior to annotation in SourceData																	
7.6.2017 16:14:09	EMBOR-2017-44070	10.15252/embr.201744070	06.07.17	2017	EMBO Reports	Morphology of the archaellar motor and associated cytoplasmic cone in Thermococcus kodakaraensis	07.07.17	Emmanuel	3:45:00	Several subcellular terms of Archaea have no GO																	
8.2.2017 10:17:52	EMBOJ-2017-96821	10.15252/embj.201796821	01.08.17	2017	EMBO Journal	FORMIN 2 LINKS NEUROPSYCHIATRIC PHENOTYPES AT YOUNG AGE TO AN INCREASED RISK FOR DEMENTIA	03.08.17	Emmanuel	6:30:00																		
8.3.2017 15:39:28	EMBOJ-2017-97342	10.15252/embj.201797342	01.08.17	2017	EMBO Journal	Cohesins and condensins orchestrate the 4D dynamics of yeast chromosomes during the cell cycle	08.08.17	Emmanuel	5:00:00																		
8.8.2017 15:12:39	EMBOJ-2017-96571	10.15252/embj.201796571	01.08.17	2017	EMBO Journal	Selective termination of lncRNA transcription promotes epigenetic silencing and cell differentiation	09.08.17	Emmanuel	5:30:00																		
9.20.2017 9:39:02			20.09.17	2017	EMBO Journal	Initiation of DNA replication requires actin dynamics and formin activity	25.09.17	Emmanuel	11:30:00																		
9.25.2017 11:17:39	EMBOR-2017-44034V1	10.15252/embr.201744034	19.09.17	2017	EMBO Reports	Intersectin-s interaction with DENND2B facilitates recycling of epidermal growth factor receptor	26.09.17	Emmanuel	05:00:00																		
9.27.2017 16:04:11	EMBOJ-2017-97994	10.15252/embj.201797994	27.09.17	2017	EMBO Journal	Transcriptional memory of cells-of-origin overrides _-catenin requirement of MLL cancer stem cells	03.10.17	Emmanuel	7:45:00																		
10.3.2017 11:58:09	MSB-17-7554	10.15252/msb.20177554	03.10.17	2017	Molecular Systems Biology	An immediate-late gene expression module decodes ERK signal duration	05.10.17	Emmanuel	2:00:00	black background																	
10.3.2017 12:03:58	MSB-16-7412	10.15252/msb.20167412	03.10.17	2017	Molecular Systems Biology	Capturing protein communities by structural proteomics in a thermophilic eukaryote	05.10.17	Emmanuel	1:30:00	black background																	
10.3.2017 12:09:48	MSB-17-7819	10.15252/msb.20177819	03.10.17	2017	Molecular Systems Biology	Lysine acetylome profiling uncovers novel histone deacetylase substrate proteins in Arabidopsis	05.10.17	Emmanuel	2:00:00																		
10.4.2017 11:29:51	EMM-2017-08123	10.15252/emmm.201708123	04.10.17	2017	EMBO Molecular Medicine	Profiling MHC II immunopeptidome of blood stage malaria reveals that cDC1 control the functionality of parasite-specific CD4 T cells	12.10.17	Emmanuel	8:30:00	no docx, image legend problems																	
10.5.2017 10:03:45	EMBOJ-2017-96474	10.15252/embj.201796474	05.10.17	2017	EMBO Journal	Helix-7 in Argonaute2 shapes the microRNA seed region for rapid target recognition	10.10.17	Emmanuel	2:30:00																		
10.16.2017 10:44:22	MSB-16-7411	10.15252/msb.20167411	16.10.17	2017	Molecular Systems Biology	Improving the phenotype predictions of a yeast genome-scale metabolic model by incorporating enzymatic constraints	16.10.17	Emmanuel	1:00:00																		
10.18.2017 14:21:00	EMBOJ-2017-96687	10.15252/embj.201796687	18.10.17	2017	EMBO Journal	Sterol transfer, PI4P consumption, and control of membrane lipid order by endogenous OSBP	19.10.17	Emmanuel	5:45:00																		
10.20.2017 14:46:38	EMBOJ-2017-96708P	10.15252/embj.201796708	20.10.17	2017	EMBO Journal	Methionine metabolism is essential for SIRT1-regulated mouse embryonic stem cell maintenance and embryonic development	20.10.17	Emmanuel	6:00:00																		
10.31.2017 12:32:02	EMM-2016-06914	10.15252/emmm.201606914	31.10.17	2017	EMBO Molecular Medicine	TGF-_1 secreted by Tregs in lymph nodes promotes breast cancer malignancy via up-regulation of IL-17RB	01.11.17	Emmanuel	5:45:00																		
11.1.2017 16:44:37	EMM-2017-07729P	10.15252/emmm.201707729	01.11.17	2017	EMBO Molecular Medicine	Altered metabolic landscape in IDH mutant gliomas affects phospholipid, energy and oxidative stress pathways	02.11.17	Emmanuel	5:15:00																		
11.2.2017 16:40:01	EMBOR-2017-44877	10.15252/embr.201744877	02.11.17	2017	EMBO Reports	RADX interacts with single-stranded DNA to promote replication fork stability	03.11.17	Emmanuel	3:30:00																		
11.3.2017 15:19:04	MSB-15-6724	10.15252/msb.20156724	03.11.17	2017	Molecular Systems Biology	Multistability and dynamic transitions of intracellular Min protein patterns	06.11.17	Emmanuel	2:00:00	no figures, I could not re-import them																	
11.3.2017 16:25:47	MSB-17-7763	10.15252/msb.20177763	03.11.17	2017	Molecular Systems Biology	Temporal-fluxomics reveals oscillations in TCA cycle flux throughout the mammalian cell cycle	06.11.17	Emmanuel	1:45:00																		
11.3.2017 17:29:31	EMBOR-2017-44121-T	10.15252/embr.201744121	03.11.17	2017	EMBO Reports	Mycobacteria exploit nitric oxide-induced transformation of macrophages into permissive giant cells	08.11.17	Emmanuel	6:40:00																		
11.8.2017 13:53:05	EMBOR-2017-44862V1	10.15252/embr.201744862	08.11.17	2017	EMBO Reports	Antisense transcription represses Arabidopsis seed dormancy QTL DOG1 to regulate drought tolerance	09.11.17	Emmanuel	1:45:00																		
11.8.2017 14:08:08	EMBOJ-2017-97259P	10.15252/embj.201797259	08.11.17	2017	EMBO Journal	Aubergine and piRNAs promote germline stem cell self-renewal by repressing the proto-oncogene Cbl	10.11.17	Emmanuel	5:30:00																		
11.8.2017 15:38:48	EMBOJ-2017-97039	10.15252/embj.201797039	08.11.17	2017	EMBO Journal	WH2 and proline-rich domains of WASP-family proteins collaborate to accelerate actin filament elongation	13.11.17	Emmanuel	3:50:00	no figures																	
11.8.2017 15:50:34	EMBOJ-2017-96880P	10.15252/embj.201796880	08.11.17	2017	EMBO Journal	DNA damage induced by topoisomerase inhibitors activates SAMHD1 and blocks HIV-1 infection of macrophages	09.11.17	Emmanuel	4:30:00																		
11.13.2017 14:54:20	EMBOJ-2017-96859	10.15252/embj.201796859	13.11.17	2017	EMBO Journal	Membrane scission driven by the PROPPIN Atg18	14.11.17	Emmanuel	2:45:00																		
11.13.2017 15:25:04	EMM-2017-07850	10.15252/emmm.201707850	13.11.17	2017	EMBO Molecular Medicine	G-quadruplex-binding small molecules ameliorate C9orf72 FTD/ALS pathology in vitro and in vivo	14.11.17	Emmanuel	1:45:00																		
11.13.2017 15:37:27	EMBOR-2017-44942-T	10.15252/embr.201744942	13.11.17	2017	EMBO Reports	TORC1 and TORC2 converge to regulate the SAGA co-activator in response to nutrient availability	16.11.17	Emmanuel	7:45:00																		
11.13.2017 16:36:48	EMBOJ-2016-95709P	10.15252/embj.201695709	13.11.17	2017	EMBO Journal	Glyoxal as an alternative fixative to formaldehyde in immunostaining and super-resolution microscopy	17.11.17	Emmanuel	5:45:00																		
11.13.2017 17:03:04	MSB-17-7701	10.15252/msb.20177701	13.11.17	2017	Molecular Systems Biology	Pharmacoproteomic characterisation of human colon and rectal cancer	20.11.17	Emmanuel	1:50:00																		
11.14.2017 10:49:44	MSB-17-7723	10.15252/msb.20177723	14.11.17	2017	Molecular Systems Biology	Drug detoxification dynamics explain the postantibiotic effect	21.11.17	Emmanuel	1:30:00																		
11.21.2017 11:13:18	EMM-2017-07882	10.15252/emmm.201707882	21.11.17	2017	EMBO Molecular Medicine	Household triclosan and triclocarban effects on the infant and maternal microbiome	21.11.17	Emmanuel	0:45:00																		
11.21.2017 11:58:38	EMM-2016-07445	10.15252/emmm.201607445	21.11.17	2017	EMBO Molecular Medicine	Dynamic stroma reorganization drives blood vessel dysmorphia during glioma growth.	22.11.17	Emmanuel	4:50:00																		
11.22.2017 9:51:35	EMBOJ-2017-96525	10.15252/embj.201796525	22.11.17	2017	EMBO Journal	RBPJ/CBF1 interacts with L3MBTL3/MBT1 to promote repression of Notch signaling via histone demethylase KDM1A/LSD1	22.11.17	Emmanuel	5:10:00																		
11.23.2017 11:36:00	EMBOJ-2017-96794	10.15252/embj.201796794	23.11.17	2017	EMBO Journal	Crosstalk between PKA and PKG controls pH-dependent host cell egress of Toxoplasma gondii	24.11.17	Emmanuel	8:00:00																		
11.24.2017 16:00:23	EMBOJ-2017-97077P	10.15252/embj.201797077	24.11.17	2017	EMBO Journal	Combinatorial regulation of the balance between dynein microtubule end accumulation and initiation of directed motility	27.11.17	Emmanuel	2:45:00																		
11.27.2017 11:51:21	EMBOJ-2017-96636	10.15252/embj.201796636	27.11.17	2017	EMBO Journal	Molecular basis for inner kinetochore configuration through RWD-domain interactions	28.11.17	Emmanuel	4:40:00																		
11.29.2017 10:01:39	EMBOJ-2016-96239	10.15252/embj.201696239	29.11.17	2017	EMBO Journal	The p53 inducible long noncoding RNA TRINGS protects cancer cells from necrosis under glucose starvation	11.12.17	Emmanuel	6:20:00	some problems with tags proteins/genes																	
11.30.2017 12:09:02	EMBOJ-2017-96629	10.15252/embj.201796629	30.11.17	2017	EMBO Journal	Structure of a VirD4 coupling protein bound to a VirB type IV secretion machinery	01.12.17	Emmanuel	2:00:00	a lot of troubles with complex external IDs																	
12.1.2017 11:38:12	EMM-2017-08191	10.15252/emmm.201708191	01.12.17	2017	EMBO Molecular Medicine	iPhemap: An atlas of Phenotype to genotype relationships of human iPSC models of neurological diseases	01.12.17	Emmanuel	1:40:00																		
12.1.2017 12:12:36	EMBOR-2017-44940V1P	10.15252/embr.201744940	01.12.17	2017	EMBO Reports	Human METTL16 is a N6-methyladenosine (m6A) methyltransferase that targets pre-mRNAs and various non-coding RNAs	04.12.17	Emmanuel	2:45:00																		
12.1.2017 14:46:34	EMBOJ-2017-96685	10.15252/embj.201796685	01.12.17	2017	EMBO Journal	The organic anion transporter SLCO2A1 constitutes the core component of the Maxi-Cl channel	05.12.17	Emmanuel	4:00:00																		
12.1.2017 15:16:53	EMM-2017-08087	10.15252/emmm.201708087	01.12.17	2017	EMBO Molecular Medicine	CIB2, defective in isolated deafness, is key for auditory hair cell mechanotransduction and survival	06.12.17	Emmanuel	3:50:00																		
12.6.2017 14:32:36	EMBOJ-2017-97630	10.15252/embj.201797630	06.12.17	2017	EMBO Journal	Whole chromosome loss and associated breakage-fusion-bridge cycles transform mouse tetraploid cells	07.12.17	Emmanuel	2:30:00																		
12.7.2017 10:16:23	EMBOJ-2017-98099	10.15252/embj.201798099	07.12.17	2017	EMBO Journal	Rab29 activation of the Parkinson's disease-associated LRRK2 kinase	11.12.17	Emmanuel	3:40:00																		
12.7.2017 10:54:55	EMBOR-2017-44632-T	10.15252/embr.201744632	07.12.17	2017	EMBO Reports	WDR11-mediated Hedgehog signalling defects underlie a new ciliopathy related to Kallmann syndrome	13.12.17	Emmanuel	8:30:00																		
12.7.2017 16:25:02	MSB-17-7840	10.15252/msb.20177840	07.12.17	2017	Molecular Systems Biology	From network to phenotype: the dynamic wiring of an Arabidopsis transcriptional network induced by osmotic stress	13.12.17	Emmanuel	2:50:00																		
12.7.2017 17:23:30	MSB-17-7739	10.15252/msb.20177739	07.12.17	2017	Molecular Systems Biology	An integrated computational and experimental study uncovers FUT9 as a metabolic driver of colorectal cancer	14.12.17	Emmanuel	1:40:00																		
12.7.2017 18:34:41	MSB-17-7728	10.15252/msb.20177728	07.12.17	2017	Molecular Systems Biology	The landscape of human mutually exclusive splicing	14.12.17	Emmanuel	1:15:00																		
12.14.2017 14:40:13	MSB-17-7687	10.15252/msb.20177687	14.12.17	2017	Molecular Systems Biology	A Sizer model for cell differentiation in Arabidopsis thaliana root growth	15.12.17	Emmanuel	3:20:00																		
12.14.2017 15:23:02	MSB-17-7635	10.15252/msb.20177635	14.12.17	2017	Molecular Systems Biology	Using cellular fitness to map the structure and function of a Major Facilitator Superfamily effluxer	19.12.17	Emmanuel	1:40:00																		
12.14.2017 15:40:23	MSB-17-7608	10.15252/msb.20177608	14.12.17	2017	Molecular Systems Biology	Landscape of nuclear transport receptor cargo specificity	19.12.17	Emmanuel	2:30:00																		
12.14.2017 16:47:07	MSB-17-7589	10.15252/msb.20177589	14.12.17	2017	Molecular Systems Biology	Subspecies in the global human gut microbiome	19.12.17	Emmanuel	1:00:00																		
12.14.2017 17:04:22	EMM-2017-08213P	10.15252/emmm.201708213	14.12.17	2017	EMBO Molecular Medicine	Regenerating human epithelia with cultured stem cells: feeder cells, organoids and beyond	19.12.17	Emmanuel	0:00:10																		
12.14.2017 17:10:58	EMM-2017-08193	10.15252/emmm.201708193	14.12.17	2017	EMBO Molecular Medicine	Compounds Producing an Effective Combinatorial Regimen for Disruption of HIV-1 Latency	20.12.17	Emmanuel	3:45:00																		
12.19.2017 16:41:05	EMM-2017-08078	10.15252/emmm.201708078	19.12.17	2017	EMBO Molecular Medicine	Chimeric Pneumoviridae fusion proteins as immunogens to induce cross-neutralizing antibody responses	20.12.17	Emmanuel	2:30:00																		
12.21.2017 11:22:22	EMM-2017-07767	10.15252/emmm.201707767	21.12.17	2017	EMBO Molecular Medicine	Akt inhibition improves long-term tumour control following radiotherapy by altering the microenvironment	22.12.17	Emmanuel	4:30:00																		
12.21.2017 11:53:39	MSB-17-7796	10.15252/msb.20177796	21.12.17	2017	Molecular Systems Biology	A theory that predicts behaviors of disordered cytoskeletal networks	05.01.18	Emmanuel	0:00:20																		
12.21.2017 12:11:22	EMM-2017-07885	10.15252/emmm.201707885	21.12.17	2017	EMBO Molecular Medicine	Co-infection with chikungunya virus alters trafficking of pathogenic CD8+ T cells into the brain and prevents Plasmodium-induced neuropathology	10.01.18	Emmanuel	7:30:00																		
